233207671,41606097
230124083,41606097
229584570,41606097
227761662,41606097
226800771,41606097
226797438,41606097
226647620,41606097
161131515,2247831
161130534,39129116
161128926,47905472
274328728,14115275
161090543,40250924
161075440,44171555
161051152,43383118
274083426,4155373
161015507,23458859
273994003,28307353
50272467,30692498
50272467,46830695
107935608,6750940
107935608,9268938
50270065,53850759
50270065,2247831
273946802,2224809
50250627,9018077
50250627,3595708
273663364,9540937
11674120,10091486
11674120,19689839
11674120,4511319
11674120,15816330
160806210,56640138
160791468,46802948
107831144,36372770
107831144,38634041
107826001,14259263
107826001,10329328
33182981,23658641
33182981,17995336
33182981,43323506
160732700,6823903
107800585,15906139
107800585,40482279
107799969,36419657
11666219,20128937
11666219,19672959
11666219,18786281
11666219,42902482
107794246,29858661
107794246,1980776
160710818,21912227
50210592,37002274
50210592,2247831
175788047,21165217
175788047,42923547
175788047,14164820
175788047,11595989
175788047,11070405
107777994,4472277
107777994,4228262
167186827,20674485
167186827,47251609
167186827,44247415
167186827,12744826
167186827,4288974
167186827,13617621
273278497,34520814
160647240,20626285
160637283,41681934
175785301,2158617
175785301,42780400
175785301,43912008
175785301,46538517
175785301,41663845
50190700,13746593
50190700,26859328
50190700,19144498
33162068,30433765
33162068,9302859
33162068,20000514
107721863,30594193
107721863,47266995
4944879,2124488
4944879,2224809
4944879,47174677
4944879,20046969
4944879,222427
73882340,10575923
73882340,32569113
20747836,4171316
20747836,14434234
20747836,13416369
272869524,40591180
73868457,38160869
73868457,2625190
160479682,16091701
107650266,14203886
272761391,25922775
50153852,56144118
50153852,44977822
4939703,48474025
4939703,45619511
4939703,28082946
4939703,28776700
4939703,12980222
73850661,29735620
73850661,29718013
160436414,5555123
20739046,4208945
20739046,21455713
20739046,46243787
20739046,40493621
107624684,47193151
73841221,36419657
73841221,26151117
272622450,9008313
33130461,30433765
33130461,51843164
33130461,27789789
11642261,41654949
11642261,1312083
11642261,11625017
11642261,19525225
172076351,45626569
172076351,45663550
172076351,46630204
172076351,36416230
172076351,38634041
160375533,2224809
172076157,21669101
172076157,40484505
172076157,13034736
172076157,18020396
172076157,28570484
172076157,2466530
50134016,45677507
50134016,30679375
11640167,14259263
11640167,17851423
11640167,6665718
11640167,10329328
160348443,28991132
107582024,39406196
107582024,21354802
11639051,26292428
11639051,15048057
11639051,4112323
11639051,2395999
107579176,2222832
272462806,2222832
272395521,2222832
33116232,27569586
33116232,10329328
33116232,2040967
160289223,52369647
160284615,26203462
160280927,30649570
160280715,26271895
160279659,4469616
165570754,1934542
165570754,20191965
165570754,6603843
165570754,1653692
